ID,glob_feat0,glob_feat1,glob_feat2,y,SMILES0,seg0_feat0,seg0_feat1,SMILES1,seg1_feat0,seg1_feat1,SMILES2,seg2_feat0,seg2_feat1,SMILES3,seg3_feat0,seg3_feat1,SMILES4,seg4_feat0,seg4_feat1,SMILES5,seg5_feat0,seg5_feat1
8730,0.2710223719397327,0.0,1.0,-2.424476594771952,F[P-](F)(F)(F)(F)F,,0.24476989584417178,O=C1OCCO1,,0.2265690312467488,CCOC(OC)=O,,0.5286610729090795,,,,,,,,,
8731,0.309389615521852,0.0,1.0,-2.281385595819196,F[P-](F)(F)(F)(F)F,,0.245029897600821,O=C1OCCO1,,0.22649103071975402,CCOC(OC)=O,,0.528479071679425,,,,,,,,,
8732,0.34775685910397136,0.0,1.0,-2.1583558490182266,F[P-](F)(F)(F)(F)F,,0.244712969143767,O=C1OCCO1,,0.22658610925687,CCOC(OC)=O,,0.528700921599363,,,,,,,,,
8733,0.3861241026860907,0.0,1.0,-2.06567538630627,F[P-](F)(F)(F)(F)F,,0.24439713543095226,O=C1OCCO1,,0.22668085937071422,CCOC(OC)=O,,0.5289220051983335,,,,,,,,,
8734,0.42449134626821,0.0,1.0,-1.977823263639822,F[P-](F)(F)(F)(F)F,,0.24379009975069102,O=C1OCCO1,,0.226862970074793,CCOC(OC)=O,,0.5293469301745161,,,,,,,,,
8735,0.46285858985032935,0.0,1.0,-1.9144986341376624,F[P-](F)(F)(F)(F)F,,0.244905644129749,O=C1OCCO1,,0.226528306761075,CCOC(OC)=O,,0.528566049109176,,,,,,,,,
8736,0.5012258334324488,0.0,1.0,-1.8506807808217036,F[P-](F)(F)(F)(F)F,,0.24487115968623474,O=C1OCCO1,,0.22653865209412977,CCOC(OC)=O,,0.5285901882196355,,,,,,,,,
8737,0.1175533976112554,0.0,1.0,-3.099544619099986,F[P-](F)(F)(F)(F)F,,0.06985056477319028,O=C1OCCO1,,0.3720597740907239,CCOC(OC)=O,,0.5580896611360858,,,,,,,,,
8738,0.15592064119337473,0.0,1.0,-2.828088800408374,F[P-](F)(F)(F)(F)F,,0.06957764279974074,O=C1OCCO1,,0.3721689428801037,CCOC(OC)=O,,0.5582534143201556,,,,,,,,,
8739,0.19428788477549405,0.0,1.0,-2.6623531299389764,F[P-](F)(F)(F)(F)F,,0.06843169933290791,O=C1OCCO1,,0.3726273202668371,CCOC(OC)=O,,0.5589409804002551,,,,,,,,,
8740,0.23265512835761337,0.0,1.0,-2.5331970385852776,F[P-](F)(F)(F)(F)F,,0.07019747161896028,O=C1OCCO1,,0.3719210113524159,CCOC(OC)=O,,0.5578815170286239,,,,,,,,,
8741,0.2710223719397327,0.0,1.0,-2.437525152230769,F[P-](F)(F)(F)(F)F,,0.07050738602857008,O=C1OCCO1,,0.37179704558857196,CCOC(OC)=O,,0.5576955683828579,,,,,,,,,
8742,0.309389615521852,0.0,1.0,-2.3654610068260085,F[P-](F)(F)(F)(F)F,,0.07023364200098366,O=C1OCCO1,,0.3719065431996067,CCOC(OC)=O,,0.5578598147994096,,,,,,,,,
8743,0.34775685910397136,0.0,1.0,-2.2822633449630985,F[P-](F)(F)(F)(F)F,,0.06996647440649263,O=C1OCCO1,,0.37201341023740314,CCOC(OC)=O,,0.5580201153561043,,,,,,,,,
